order_year,order_month,total_revenue,order_volume,avg_order_value
2024,1,19164.52,77,248.89
2024,2,21665.24,83,261.03
2024,3,19619.03,93,210.96
2024,4,24054.33,88,273.34
2024,5,19532.65,76,257.01
2024,6,15484.7,67,231.11
2024,7,26959.52,90,299.55
2024,8,19634.92,83,236.57
2024,9,18195.81,88,206.77
2024,10,22838.7,93,245.58
2024,11,25712.07,74,347.46
2024,12,36446.76,83,439.12
2025,1,27591.35,95,290.44
2025,2,22077.78,82,269.24
2025,3,16701.74,84,198.83
2025,4,19379.31,72,269.16
2025,5,20001.52,79,253.18
2025,6,17908.97,71,252.24
2025,7,22891.26,81,282.61
2025,8,23531.85,92,255.78
2025,9,17635.28,78,226.09
2025,10,18449.86,76,242.76
2025,11,33349.42,89,374.71
2025,12,32398.27,95,341.03
2026,1,20837.7,88,236.79
2026,2,18795.21,83,226.45
2026,3,26276.85,99,265.42
2026,4,21563.5,82,262.97
2026,5,22119.62,84,263.33
2026,6,19543.29,75,260.58
